Date,HUA_clinecenter,SBUX_clinecenter,TIK_clinecenter,HUA_brandwatch,SBUX_brandwatch,TIK_brandwatch
2019-02-07,-0.172,2.895,2.500,-1.169,-0.526,3.311
2019-02-07,-0.172,2.895,2.500,-1.169,-0.526,3.311
2019-02-08,-0.865,3.281,-0.385,-1.293,0.510,3.955
2019-02-08,-0.865,3.281,-0.385,-1.293,0.510,3.955
2019-02-09,0.000,1.923,-1.364,-0.549,-2.279,4.427
2019-02-09,0.000,1.923,-1.364,-0.549,-2.279,4.427
2019-02-10,0.000,3.205,3.333,-0.878,-0.062,4.255
2019-02-10,0.000,3.205,3.333,-0.878,-0.062,4.255
2019-02-11,-0.746,1.571,-1.000,-0.952,1.098,4.232
2019-02-11,-0.746,1.571,-1.000,-0.952,1.098,4.232
2019-02-12,-0.240,2.160,0.632,-0.123,-0.288,4.310
2019-02-12,-0.240,2.160,0.632,-0.123,-0.288,4.310
2019-02-13,0.072,2.500,1.538,0.085,-0.403,3.633
2019-02-13,0.072,2.500,1.538,0.085,-0.403,3.633
2019-02-14,0.128,2.273,0.538,0.233,1.246,4.369
2019-02-14,0.128,2.273,0.538,0.233,1.246,4.369
2019-02-15,-0.346,2.397,0.769,-1.298,0.033,3.968
2019-02-15,-0.346,2.397,0.769,-1.298,0.033,3.968
2019-02-16,-0.818,2.097,-1.667,-1.508,-1.097,3.095
2019-02-16,-0.818,2.097,-1.667,-1.508,-1.097,3.095
2019-02-17,-0.761,2.000,-0.556,-2.512,-1.076,2.678
2019-02-17,-0.761,2.000,-0.556,-2.512,-1.076,2.678
2019-02-18,-1.979,4.070,1.667,-1.594,0.472,-3.045
2019-02-18,-1.979,4.070,1.667,-1.594,0.472,-3.045
2019-02-19,-0.363,2.636,1.410,-1.683,-1.955,-0.108
2019-02-19,-0.363,2.636,1.410,-1.683,-1.955,-0.108
2019-02-20,1.070,2.143,1.667,-1.179,-0.953,3.758
2019-02-20,1.070,2.143,1.667,-1.179,-0.953,3.758
2019-02-21,-0.063,1.500,1.812,-0.969,-0.363,3.702
2019-02-21,-0.063,1.500,1.812,-0.969,-0.363,3.702
2019-02-22,-0.046,2.467,1.207,-1.184,0.011,3.613
2019-02-22,-0.046,2.467,1.207,-1.184,0.011,3.613
2019-02-23,0.802,1.364,0.000,-1.253,0.620,-0.794
2019-02-23,0.802,1.364,0.000,-1.253,0.620,-0.794
2019-02-24,2.607,3.333,1.111,0.801,-0.135,-3.163
2019-02-24,2.607,3.333,1.111,0.801,-0.135,-3.163
2019-02-25,-0.147,1.723,1.364,0.539,-0.757,-0.274
2019-02-25,-0.147,1.723,1.364,0.539,-0.757,-0.274
2019-02-26,2.161,2.101,2.308,0.465,-0.624,1.880
2019-02-26,2.161,2.101,2.308,0.465,-0.624,1.880
2019-02-27,1.795,3.701,1.111,-0.232,-2.233,1.224
2019-02-27,1.795,3.701,1.111,-0.232,-2.233,1.224
2019-02-28,-0.497,2.143,-1.765,0.738,-1.219,1.963
2019-02-28,-0.497,2.143,-1.765,0.738,-1.219,1.963
2019-03-01,-2.247,1.140,0.455,-1.920,-2.647,2.179
2019-03-01,-2.247,1.140,0.455,-1.920,-2.647,2.179
2019-03-06,-1.891,2.609,3.000,-1.711,4.028,3.380
2019-03-06,-1.891,2.609,3.000,-1.711,4.028,3.380
2019-03-08,-0.047,1.486,2.143,-1.668,0.962,2.364
2019-03-08,-0.047,1.486,2.143,-1.668,0.962,2.364
2019-03-10,-0.200,2.917,0.000,-1.065,0.527,2.858
2019-03-10,-0.200,2.917,0.000,-1.065,0.527,2.858
2019-03-11,-0.789,3.537,1.000,-1.773,-0.401,2.247
2019-03-11,-0.789,3.537,1.000,-1.773,-0.401,2.247
2019-03-12,-1.017,2.941,3.571,1.219,0.127,2.229
2019-03-12,-1.017,2.941,3.571,1.219,0.127,2.229
2019-03-13,-1.420,2.568,0.000,0.278,-0.266,1.846
2019-03-13,-1.420,2.568,0.000,0.278,-0.266,1.846
2019-03-15,0.286,0.152,-1.923,-1.828,-0.534,2.466
2019-03-15,0.286,0.152,-1.923,-1.828,-0.534,2.466
2019-03-16,1.452,2.647,0.000,-2.521,0.227,3.283
2019-03-16,1.452,2.647,0.000,-2.521,0.227,3.283
2019-03-17,0.172,2.105,0.000,-2.043,1.040,3.079
2019-03-17,0.172,2.105,0.000,-2.043,1.040,3.079
2019-03-18,-0.577,1.750,-1.667,-2.136,2.107,0.702
2019-03-18,-0.577,1.750,-1.667,-2.136,2.107,0.702
